slug,name,akc_group,size_band,min_kg,max_kg,min_lb,max_lb,min_lifespan_years,max_lifespan_years,midpoint_kg,daily_kcal_neutered_adult_at_midpoint
west-highland-white-terrier,West Highland White Terrier,Terrier,small,6.8,9.1,15,20.1,13,15,7.95,530
wetterhoun,Wetterhoun,Foundation Stock Service,large,22.7,34,50,75,13,13,28.35,1376
whippet,Whippet,Hound,medium,11.3,18.1,24.9,39.9,12,15,14.7,841
wire-fox-terrier,Wire Fox Terrier,Terrier,small,6.8,8.2,15,18.1,12,15,7.5,508
wirehaired-pointing-griffon,Wirehaired Pointing Griffon,Sporting,medium,15.9,31.8,35.1,70.1,12,15,23.85,1209
wirehaired-vizsla,Wirehaired Vizsla,Sporting,medium,20.4,29.5,45,65,12,14,24.95,1250
working-kelpie,Working Kelpie,Foundation Stock Service,medium,12.7,27.2,28,60,12,15,19.95,1057
xoloitzcuintli,Xoloitzcuintli,Non-Sporting,medium,4.5,24.9,9.9,54.9,13,18,14.7,841
yakutian-laika,Yakutian Laika,Foundation Stock Service,medium,18.1,24.9,39.9,54.9,10,12,21.5,1118
yorkshire-terrier,Yorkshire Terrier,Toy,toy,3.2,3.2,7.1,7.1,11,15,3.2,268
