cpu_slug,cpu,gpu_slug,gpu,continuous_watts,computed_psu_watts,vendor_recommended_psu_watts,recommended_psu_watts,binding_constraint,recommended_from_tdp_watts,sizes_missed_by_tdp,load_fraction_at_recommended,headroom_watts
core-i5-14600k,Core i5-14600K,rtx-5090,GeForce RTX 5090,800,1000,1000,1000,agree,1000,0,0.8,200
core-i5-14600k,Core i5-14600K,rtx-4090,GeForce RTX 4090,675,850,850,850,agree,800,1,0.794,175
core-i5-14600k,Core i5-14600K,rtx-3090-ti,GeForce RTX 3090 Ti,675,850,850,850,agree,800,1,0.794,175
core-i5-14600k,Core i5-14600K,rtx-5080,GeForce RTX 5080,585,750,850,850,vendor,700,1,0.688,265
core-i5-14600k,Core i5-14600K,rx-7900-xtx,Radeon RX 7900 XTX,580,750,800,800,vendor,700,1,0.725,220
core-i5-14600k,Core i5-14600K,rtx-3090,GeForce RTX 3090,575,750,750,750,agree,650,2,0.767,175
core-i5-14600k,Core i5-14600K,rtx-3080-ti,GeForce RTX 3080 Ti,575,750,750,750,agree,650,2,0.767,175
core-i5-14600k,Core i5-14600K,rtx-3080,GeForce RTX 3080,575,750,750,750,agree,650,2,0.767,175
core-i5-14600k,Core i5-14600K,rtx-4080-super,GeForce RTX 4080 SUPER,545,700,750,750,vendor,650,1,0.727,205
core-i5-14600k,Core i5-14600K,rtx-4080,GeForce RTX 4080,545,700,750,750,vendor,650,1,0.727,205
core-i5-14600k,Core i5-14600K,rx-7900-xt,Radeon RX 7900 XT,540,700,750,750,vendor,650,1,0.72,210
core-i5-14600k,Core i5-14600K,rx-9070-xt,Radeon RX 9070 XT,529,700,750,750,vendor,600,2,0.705,221
core-i5-14600k,Core i5-14600K,rtx-5070-ti,GeForce RTX 5070 Ti,525,700,750,750,vendor,600,2,0.7,225
core-i5-14600k,Core i5-14600K,rtx-3070-ti,GeForce RTX 3070 Ti,515,650,650,650,agree,600,1,0.792,135
core-i5-14600k,Core i5-14600K,rtx-4070-ti-super,GeForce RTX 4070 Ti SUPER,510,650,700,700,vendor,600,1,0.729,190
