model_slug,model,quantisation,bits_per_weight,weights_gb,kv_cache_gb,runtime_overhead_gb,total_gb,context
qwen2-5-14b,Qwen2.5 14B,q6-k,6.6,11.348,1.5,0.8,13.648,8192
qwen2-5-14b,Qwen2.5 14B,q5-k-m,5.5,9.456,1.5,0.8,11.756,8192
qwen2-5-14b,Qwen2.5 14B,q4-k-m,4.5,7.737,1.5,0.8,10.037,8192
qwen2-5-14b,Qwen2.5 14B,q3-k-m,3.9,6.706,1.5,0.8,9.006,8192
deepseek-r1-distill-qwen-14b,DeepSeek-R1 Distill Qwen 14B,fp16,16,27.51,1.5,0.8,29.81,8192
deepseek-r1-distill-qwen-14b,DeepSeek-R1 Distill Qwen 14B,q8-0,8.5,14.615,1.5,0.8,16.915,8192
deepseek-r1-distill-qwen-14b,DeepSeek-R1 Distill Qwen 14B,q6-k,6.6,11.348,1.5,0.8,13.648,8192
deepseek-r1-distill-qwen-14b,DeepSeek-R1 Distill Qwen 14B,q5-k-m,5.5,9.456,1.5,0.8,11.756,8192
deepseek-r1-distill-qwen-14b,DeepSeek-R1 Distill Qwen 14B,q4-k-m,4.5,7.737,1.5,0.8,10.037,8192
deepseek-r1-distill-qwen-14b,DeepSeek-R1 Distill Qwen 14B,q3-k-m,3.9,6.706,1.5,0.8,9.006,8192
gemma-2-27b,Gemma 2 27B,fp16,16,50.713,2.875,0.8,54.388,8192
gemma-2-27b,Gemma 2 27B,q8-0,8.5,26.941,2.875,0.8,30.616,8192
gemma-2-27b,Gemma 2 27B,q6-k,6.6,20.919,2.875,0.8,24.594,8192
gemma-2-27b,Gemma 2 27B,q5-k-m,5.5,17.433,2.875,0.8,21.108,8192
gemma-2-27b,Gemma 2 27B,q4-k-m,4.5,14.263,2.875,0.8,17.938,8192
gemma-2-27b,Gemma 2 27B,q3-k-m,3.9,12.361,2.875,0.8,16.036,8192
qwen3-30b-a3b,Qwen3 30B-A3B,fp16,16,56.87,0.75,0.8,58.42,8192
qwen3-30b-a3b,Qwen3 30B-A3B,q8-0,8.5,30.212,0.75,0.8,31.762,8192
qwen3-30b-a3b,Qwen3 30B-A3B,q6-k,6.6,23.459,0.75,0.8,25.009,8192
qwen3-30b-a3b,Qwen3 30B-A3B,q5-k-m,5.5,19.549,0.75,0.8,21.099,8192
qwen3-30b-a3b,Qwen3 30B-A3B,q4-k-m,4.5,15.995,0.75,0.8,17.545,8192
qwen3-30b-a3b,Qwen3 30B-A3B,q3-k-m,3.9,13.862,0.75,0.8,15.412,8192
qwen2-5-32b,Qwen2.5 32B,fp16,16,61.025,2,0.8,63.825,8192
qwen2-5-32b,Qwen2.5 32B,q8-0,8.5,32.42,2,0.8,35.22,8192
qwen2-5-32b,Qwen2.5 32B,q6-k,6.6,25.173,2,0.8,27.973,8192
qwen2-5-32b,Qwen2.5 32B,q5-k-m,5.5,20.977,2,0.8,23.777,8192
qwen2-5-32b,Qwen2.5 32B,q4-k-m,4.5,17.163,2,0.8,19.963,8192
qwen2-5-32b,Qwen2.5 32B,q3-k-m,3.9,14.875,2,0.8,17.675,8192
qwen2-5-coder-32b,Qwen2.5 Coder 32B,fp16,16,61.025,2,0.8,63.825,8192
qwen2-5-coder-32b,Qwen2.5 Coder 32B,q8-0,8.5,32.42,2,0.8,35.22,8192
qwen2-5-coder-32b,Qwen2.5 Coder 32B,q6-k,6.6,25.173,2,0.8,27.973,8192
qwen2-5-coder-32b,Qwen2.5 Coder 32B,q5-k-m,5.5,20.977,2,0.8,23.777,8192
qwen2-5-coder-32b,Qwen2.5 Coder 32B,q4-k-m,4.5,17.163,2,0.8,19.963,8192
qwen2-5-coder-32b,Qwen2.5 Coder 32B,q3-k-m,3.9,14.875,2,0.8,17.675,8192
qwen3-32b,Qwen3 32B,fp16,16,61.023,2,0.8,63.823,8192
qwen3-32b,Qwen3 32B,q8-0,8.5,32.418,2,0.8,35.218,8192
qwen3-32b,Qwen3 32B,q6-k,6.6,25.172,2,0.8,27.972,8192
qwen3-32b,Qwen3 32B,q5-k-m,5.5,20.977,2,0.8,23.777,8192
qwen3-32b,Qwen3 32B,q4-k-m,4.5,17.163,2,0.8,19.963,8192
qwen3-32b,Qwen3 32B,q3-k-m,3.9,14.874,2,0.8,17.674,8192
mixtral-8x7b,Mixtral 8x7B,fp16,16,86.99,1,0.8,88.79,8192
mixtral-8x7b,Mixtral 8x7B,q8-0,8.5,46.214,1,0.8,48.014,8192
mixtral-8x7b,Mixtral 8x7B,q6-k,6.6,35.883,1,0.8,37.683,8192
mixtral-8x7b,Mixtral 8x7B,q5-k-m,5.5,29.903,1,0.8,31.703,8192
